Date,Weekday,Open,High,Low,Close
4/4/2010,Sunday,2680000,2680000,2680000,2680000
4/5/2010,Monday,2680000,2680000,2680000,2680000
4/6/2010,Tuesday,2680000,2680000,2680000,2680000
4/7/2010,Wednesday,2710000,2710000,2710000,2710000
4/9/2010,Friday,2720000,2720000,2720000,2720000
4/11/2010,Sunday,2750000,2750000,2750000,2750000
4/12/2010,Monday,2760000,2760000,2760000,2760000
4/13/2010,Tuesday,2750000,2750000,2750000,2750000
4/14/2010,Wednesday,2745000,2745000,2745000,2745000
4/16/2010,Friday,2740000,2740000,2740000,2740000
4/17/2010,Saturday,2720000,2720000,2720000,2720000
4/18/2010,Sunday,2715000,2715000,2715000,2715000
4/19/2010,Monday,2710000,2710000,2710000,2710000
4/20/2010,Tuesday,2710000,2710000,2710000,2710000
4/21/2010,Wednesday,2730000,2730000,2730000,2730000
4/23/2010,Friday,2740000,2740000,2740000,2740000
4/24/2010,Saturday,2770000,2770000,2770000,2770000
4/26/2010,Monday,2750000,2750000,2750000,2750000
4/27/2010,Tuesday,2850000,2850000,2850000,2850000
4/28/2010,Wednesday,2780000,2780000,2780000,2780000
4/30/2010,Friday,2780000,2780000,2780000,2780000
5/1/2010,Saturday,2830000,2830000,2830000,2830000
5/2/2010,Sunday,2830000,2830000,2830000,2830000
5/3/2010,Monday,2820000,2820000,2820000,2820000
5/4/2010,Tuesday,2825000,2825000,2825000,2825000
5/5/2010,Wednesday,2870000,2870000,2870000,2870000
5/7/2010,Friday,2820000,2820000,2820000,2820000
5/8/2010,Saturday,2900000,2900000,2900000,2900000
5/9/2010,Sunday,2890000,2890000,2890000,2890000
5/10/2010,Monday,2870000,2870000,2870000,2870000
5/11/2010,Tuesday,2880000,2880000,2880000,2880000
5/12/2010,Wednesday,2950000,2950000,2950000,2950000
5/14/2010,Friday,2950000,2950000,2950000,2950000
5/17/2010,Monday,2930000,2930000,2930000,2930000
5/18/2010,Tuesday,2920000,2920000,2920000,2920000
5/19/2010,Wednesday,2920000,2920000,2920000,2920000
5/21/2010,Friday,2900000,2900000,2900000,2900000
5/22/2010,Saturday,2880000,2880000,2880000,2880000
5/23/2010,Sunday,2880000,2880000,2880000,2880000
5/24/2010,Monday,2900000,2900000,2900000,2900000
5/25/2010,Tuesday,2910000,2910000,2910000,2910000
5/26/2010,Wednesday,2950000,2950000,2950000,2950000
5/28/2010,Friday,2960000,2960000,2960000,2960000
5/29/2010,Saturday,2970000,2970000,2970000,2970000
5/30/2010,Sunday,2970000,2970000,2970000,2970000
5/31/2010,Monday,2980000,2980000,2980000,2980000
6/1/2010,Tuesday,3000000,3000000,3000000,3000000
6/2/2010,Wednesday,3040000,3040000,3040000,3040000
6/5/2010,Saturday,3020000,3020000,3020000,3020000
6/6/2010,Sunday,3015000,3015000,3015000,3015000
6/7/2010,Monday,3020000,3020000,3020000,3020000
6/8/2010,Tuesday,3070000,3070000,3070000,3070000
6/9/2010,Wednesday,3100000,3100000,3100000,3100000
6/11/2010,Friday,3110000,3110000,3110000,3110000
6/12/2010,Saturday,3085000,3085000,3085000,3085000
6/13/2010,Sunday,3075000,3075000,3075000,3075000
6/14/2010,Monday,3080000,3080000,3080000,3080000
6/15/2010,Tuesday,3040000,3040000,3040000,3040000
6/16/2010,Wednesday,3060000,3060000,3060000,3060000
6/18/2010,Friday,3060000,3060000,3060000,3060000
6/19/2010,Saturday,3100000,3100000,3100000,3100000
6/21/2010,Monday,3120000,3120000,3120000,3120000
6/22/2010,Tuesday,3080000,3080000,3080000,3080000
6/23/2010,Wednesday,3080000,3080000,3080000,3080000
6/26/2010,Saturday,3085000,3085000,3085000,3085000
6/27/2010,Sunday,3120000,3120000,3120000,3120000
6/28/2010,Monday,3120000,3120000,3120000,3120000
6/29/2010,Tuesday,3100000,3100000,3100000,3100000
6/30/2010,Wednesday,3120000,3120000,3120000,3120000
7/2/2010,Friday,3030000,3030000,3030000,3030000
7/4/2010,Sunday,3030000,3030000,3030000,3030000
7/6/2010,Tuesday,3020000,3020000,3020000,3020000
7/7/2010,Wednesday,3000000,3000000,3000000,3000000
7/10/2010,Saturday,3010000,3010000,3010000,3010000
7/11/2010,Sunday,3020000,3020000,3020000,3020000
7/12/2010,Monday,3010000,3010000,3010000,3010000
7/14/2010,Wednesday,3020000,3020000,3020000,3020000
7/16/2010,Friday,3020000,3020000,3020000,3020000
7/17/2010,Saturday,2980000,2980000,2980000,2980000
7/18/2010,Sunday,2960000,2960000,2960000,2960000
7/19/2010,Monday,2960000,2960000,2960000,2960000
7/20/2010,Tuesday,2940000,2940000,2940000,2940000
7/21/2010,Wednesday,2950000,2950000,2950000,2950000
7/23/2010,Friday,2950000,2950000,2950000,2950000
7/24/2010,Saturday,2960000,2960000,2960000,2960000
7/25/2010,Sunday,2960000,2960000,2960000,2960000
7/27/2010,Tuesday,2975000,2975000,2975000,2975000
7/28/2010,Wednesday,2925000,2925000,2925000,2925000
7/30/2010,Friday,2920000,2920000,2920000,2920000
7/31/2010,Saturday,2950000,2950000,2950000,2950000
8/1/2010,Sunday,2950000,2950000,2950000,2950000
8/2/2010,Monday,2950000,2950000,2950000,2950000
8/3/2010,Tuesday,2950000,2950000,2950000,2950000
8/6/2010,Friday,2975000,2975000,2975000,2975000
8/7/2010,Saturday,3000000,3000000,3000000,3000000
8/8/2010,Sunday,3000000,3000000,3000000,3000000
8/10/2010,Tuesday,3000000,3000000,3000000,3000000
8/11/2010,Wednesday,2990000,2990000,2990000,2990000
8/13/2010,Friday,3010000,3010000,3010000,3010000
8/14/2010,Saturday,3030000,3030000,3030000,3030000
8/15/2010,Sunday,3030000,3030000,3030000,3030000
8/16/2010,Monday,3030000,3030000,3030000,3030000
8/17/2010,Tuesday,3040000,3040000,3040000,3040000
8/18/2010,Wednesday,3040000,3040000,3040000,3040000
8/20/2010,Friday,3040000,3040000,3040000,3040000
8/21/2010,Saturday,3040000,3040000,3040000,3040000
8/22/2010,Sunday,3040000,3040000,3040000,3040000
8/23/2010,Monday,3040000,3040000,3040000,3040000
8/24/2010,Tuesday,3030000,3030000,3030000,3030000
8/25/2010,Wednesday,3050000,3050000,3050000,3050000
8/27/2010,Friday,3060000,3060000,3060000,3060000
8/28/2010,Saturday,3060000,3060000,3060000,3060000
8/29/2010,Sunday,3070000,3070000,3070000,3070000
8/30/2010,Monday,3080000,3080000,3080000,3080000
9/3/2010,Friday,3080000,3080000,3080000,3080000
